Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
209031211,Kinglake,53203.03435227734,54267.095039322885,55352.43694010934,56459.48567891153
209031213,Plenty - Yarrambat,60940.025771753586,62158.82628718866,63402.002812932435,64670.042869191086
209031215,Wattle Glen - Diamond Creek,62437.8986745325,63686.656648023156,64960.38978098362,66259.5975766033
209041216,Bundoora - North,51044.00718555734,52064.88732926849,53106.18507585386,54168.308777370934
209041217,Bundoora - West,47051.88356748606,47992.921238835785,48952.7796636125,49931.83525688475
209041220,Mill Park - North,53354.3934475444,54421.48131649529,55509.91094282519,56620.10916168169
209041221,Mill Park - South,51483.7204782485,52513.39488781347,53563.66278556974,54634.93604128113
209041223,Thomastown,45319.28403895899,46225.66971973817,47150.18311413294,48093.1867764156
209041224,Wallan,57222.06026372368,58366.501468998154,59533.83149837812,60724.50812834568
209041225,Whittlesea,54528.23458009196,55618.799271693795,56731.175257127674,57865.79876227023
209041431,Epping - East,51747.0685716729,52782.00994310636,53837.65014196849,54914.40314480786
209041432,Epping - South,47118.33634785244,48060.70307480949,49021.91713630568,50002.355479031794
209041433,Epping (Vic.) - West,53153.71292205096,54216.78718049198,55301.122924101815,56407.145382583854
209041435,South Morang - North,58256.54367502563,59421.67454852614,60610.10803949666,61822.3102002866
209041436,South Morang - South,54816.12892941365,55912.45150800193,57030.70053816197,58171.314548925206
209041437,Wollert,53388.39173581518,54456.15957053148,55545.282761942115,56656.18841718096
210011231,Strathmore,64768.572658199075,66063.94411136306,67385.22299359032,68732.92745346212
210021232,Gisborne,62765.80166858993,64021.117701961724,65301.54005600096,66607.57085712098
210021235,Romsey,56111.57291728357,57233.804375629246,58378.48046314183,59546.050072404665
210031236,Coburg North,59310.677794360556,60496.891350247766,61706.82917725272,62940.96576079778
210031237,Fawkner,46662.24699357545,47595.49193344696,48547.401772115896,49518.34980755822
210031440,Hadfield,53849.60574870771,54926.59786368187,56025.12982095551,57145.63241737462
210041240,Sunbury,59165.12762544136,60348.43017795019,61555.3987815092,62786.50675713938
210051242,Broadmeadows,40231.33056368166,41035.95717495529,41856.676318454396,42693.80984482348
210051243,Campbellfield - Coolaroo,41728.235236059874,42562.79994078107,43414.05593959669,44282.33705838863
210051245,Gladstone Park - Westmeadows,55031.022798132544,56131.643254095194,57254.2761191771,58399.361641560645
210051246,Greenvale - Bulla,57970.597444830026,59130.00939372663,60312.60958160116,61518.861773233184
210051247,Meadow Heights,43635.38549749121,44508.09320744104,45398.25507158986,46306.22017302166
210051250,Tullamarine,52585.98562380044,53637.70533627646,54710.459443001986,55804.66863186203
210051441,Craigieburn - Central,48024.11195340785,48984.59419247601,49964.28607632553,50963.57179785204
210051442,Craigieburn - North,53230.22085927463,54294.82527646013,55380.721781989334,56488.33621762912
210051443,Craigieburn - South,52768.199714916474,53823.5637092148,54900.0349833991,55998.03568306708
211011251,Bayswater,51695.578024606875,52729.489585099014,53784.079376801,54859.760964337016
