Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
205031090,Leongatha,44810.021764651996,45706.222199945034,46620.346643943936,47552.75357682282
205031091,Phillip Island,44444.71170238093,45333.605936428554,46240.27805515713,47165.08361626027
205031093,Wonthaggi - Inverloch,50745.707012605046,51760.62115285715,52795.833575914294,53851.75024743258
205041094,Churchill,53420.325725537354,54488.7322400481,55578.50688484906,56690.077022546044
205041095,Moe - Newborough,52253.9072575188,53298.985402669176,54364.96511072256,55452.26441293701
205041096,Morwell,46085.231456043985,47006.93608516487,47947.074806868164,48906.01630300553
205051101,Maffra,51393.074530902115,52420.93602152016,53469.35474195056,54538.74183678957
205051102,Rosedale,47858.81150396824,48815.9877340476,49792.307488728555,50788.15363850313
205051103,Sale,51344.36331184974,52371.250578086736,53418.67558964847,54487.04910144144
206011106,Brunswick East,60511.02189285715,61721.24233071429,62955.66717732858,64214.78052087515
206011107,Brunswick West,57541.4221292735,58692.250571858975,59866.095583296155,61063.41749496208
206011109,Pascoe Vale South,57651.56308134919,58804.594342976176,59980.6862298357,61180.29995443242
206021112,Thornbury,57480.993962731736,58630.61384198637,59803.226118826096,60999.29064120262
206031113,Ascot Vale,61182.686355158716,62406.34008226189,63654.46688390713,64927.55622158528
206031115,Flemington,55386.60615346009,56494.33827652929,57624.22504205988,58776.70954290108
206031116,Moonee Ponds,59777.76977274115,60973.325168195974,62192.79167155989,63436.64750499109
206041117,Carlton,53323.40684101408,54389.87497783436,55477.672477391054,56587.225926938874
206041121,Kensington (Vic.),64613.37416071427,65905.64164392855,67223.75447680712,68568.22956634327
206051129,Elwood,66116.94409126983,67439.28297309524,68788.06863255714,70163.83000520829
206051130,Port Melbourne,70222.47836111108,71626.9279283333,73059.46648689997,74520.65581663797
206051134,St Kilda East,59409.570214715844,60597.76161901016,61809.71685139037,63045.91118841818
206061138,Toorak,60097.02933880009,61298.969925576086,62524.94932408761,63775.448310569365
206071139,Abbotsford,62161.88079563493,63405.11841154763,64673.22077977858,65966.68519537416
206071141,Collingwood,59333.084869047634,60519.746566428585,61730.141497757155,62964.7443277123
206071142,Fitzroy,64629.51247023808,65922.10271964285,67240.5447740357,68585.35566951642
206071143,Fitzroy North,64331.86137896827,65618.49860654764,66930.8685786786,68269.48595025217
206071145,Clifton Hill - Alphington,66913.67291071429,68251.94636892858,69616.98529630715,71009.3250022333
207011152,Hawthorn East,60256.81467231377,61461.95096576004,62691.189985075245,63945.013784776755
207021157,Doncaster,51793.47642261904,52829.34595107142,53885.932870092845,54963.6515274947
207021160,Templestowe Lower,52167.245618611465,53210.590530983696,54274.80234160337,55360.29838843544
207021425,Doncaster East - South,50527.43597163148,51537.984691064106,52568.74438488539,53620.1192725831
207031161,Blackburn,58130.78180158729,59293.39743761904,60479.26538637142,61688.85069409885
207031162,Blackburn South,49635.93109102257,50628.64971284302,51641.22270709988,52674.04716124188
207031163,Box Hill,49021.511873015865,50001.942110476186,51001.98095268571,52022.02057173943
207031164,Box Hill North,53432.72895308124,54501.38353214287,55591.411202785726,56703.23942684144
207031165,Burwood (Vic.),43063.74901960784,43925.024,44803.52448,45699.5949696
207031166,Burwood East,46856.70040714838,47793.83441529135,48749.711103597176,49724.70532566912
207031167,Surrey Hills (East) - Mont Albert,61605.994627525244,62838.11452007575,64094.87681047727,65376.77434668681
208011171,Highett (West) - Cheltenham,64767.82773611112,66063.18429083333,67384.44797665,68732.136936183
208021174,Bentleigh - McKinnon,67557.3083849206,68908.45455261902,70286.6236436714,71692.35611654482
208021176,Carnegie,57854.18845497558,59011.27222407509,60191.49766855659,61395.327621927725
208021179,Elsternwick,64376.20566468256,65663.72977797622,66977.00437353575,68316.54446100646
208021180,Hughesdale,56015.32787247477,57135.63442992427,58278.34711852275,59443.91406089321
208021182,Ormond - Glen Huntly,54943.4447165751,56042.3136109066,57163.15988312474,58306.42308078724
208021426,Bentleigh East - North,58382.944903083015,59550.60380114467,60741.61587716757,61956.44819471092
208021427,Bentleigh East - South,59088.71613095237,60270.49045357142,61475.900262642856,62705.418267895715
208031183,Aspendale Gardens - Waterways,54620.296750953945,55712.702685973025,56826.95673969248,57963.49587448633
208031186,Chelsea - Bonbeach,54689.69911779451,55783.4931001504,56899.16296215341,58037.14622139648
208031188,Highett (East) - Cheltenham ,64551.00426190477,65842.02434714287,67158.86483408573,68502.04213076746
208031190,Mentone,62294.42061309523,63540.309025357135,64811.11520586428,66107.33750998156
208031191,Moorabbin - Heatherton,55515.820455318986,56626.13686442537,57758.65960171387,58913.83279374815
208031193,Mordialloc - Parkdale,65170.55332142857,66473.96438785714,67803.44367561428,69159.51254912656
